record_id,plant_id,date,energy_source,region,production_mwh,efficiency_pct,operating_cost,revenue,co2_emissions_tons,downtime_hours,maintenance_flag,profit,year,month,quarter,month_name,is_renewable,profit_margin,cost_per_mwh,revenue_per_mwh,carbon_intensity,efficiency_zscore,is_anomaly,rolling_7d_production,rolling_30d_revenue
REC0000026,PLT026,2025-05-30,Hydro,Southwest,21076.49,87.29,316147.28,1312978.69,210.76,1.02,0,996831.4099999999,2025,5,2,May,1,75.92,15.0,62.3,0.01,0.597,0,21076.49,1312978.69
REC0000038,PLT038,2025-05-30,Biomass,Southwest,5729.81,63.52,217732.77,415806.31,1317.86,0.57,0,198073.54,2025,5,2,May,1,47.64,38.0,72.57,0.23,-1.443,0,5729.81,415806.31
REC0000024,PLT024,2025-05-30,Hydro,Northeast,10181.12,99.0,152716.82,663390.44,101.81,0.99,0,510673.61999999994,2025,5,2,May,1,76.98,15.0,65.16,0.01,1.602,0,10181.12,663390.44
REC0000025,PLT025,2025-05-30,Geothermal,West Coast,10255.17,74.24,287144.79,583071.11,512.76,1.9,0,295926.32,2025,5,2,May,1,50.75,28.0,56.86,0.05,-0.523,0,10255.17,583071.11
REC0000002,PLT002,2025-05-30,Coal,West Coast,21209.05,72.88,742316.76,1748075.55,17391.42,1.65,0,1005758.79,2025,5,2,May,0,57.54,35.0,82.42,0.82,-0.64,0,21209.05,1748075.55
REC0000003,PLT003,2025-05-30,Nuclear,Northeast,46818.14,87.32,936362.84,2599136.37,0.0,1.57,0,1662773.5300000003,2025,5,2,May,0,63.97,20.0,55.52,0.0,0.6,0,46818.14,2599136.37
REC0000004,PLT004,2025-05-30,Geothermal,West Coast,3526.58,84.12,98744.24,278233.86,176.33,0.49,0,179489.62,2025,5,2,May,1,64.51,28.0,78.9,0.05,0.325,0,3526.58,278233.86
REC0000005,PLT005,2025-05-30,Geothermal,Southeast,8298.78,72.25,232365.79,605242.99,414.94,1.1,0,372877.19999999995,2025,5,2,May,1,61.61,28.0,72.93,0.05,-0.694,0,8298.78,605242.99
REC0000006,PLT006,2025-05-30,Geothermal,West Coast,10546.98,80.56,295315.58,714897.77,527.35,1.06,0,419582.19,2025,5,2,May,1,58.69,28.0,67.78,0.05,0.019,0,10546.98,714897.77
REC0000007,PLT007,2025-05-30,Geothermal,Northeast,9126.83,89.45,255551.34,577499.91,456.34,1.02,0,321948.57000000007,2025,5,2,May,1,55.75,28.0,63.27,0.05,0.782,0,9126.83,577499.91
REC0000009,PLT009,2025-05-30,Natural Gas,Southwest,33688.43,82.03,1515979.43,2757933.04,15159.79,0.16,1,1241953.61,2025,5,2,May,0,45.03,45.0,81.87,0.45,0.146,0,33688.43,2757933.04
REC0000010,PLT010,2025-05-30,Solar,Midwest,6086.08,74.82,152151.88,501301.39,0.0,1.32,0,349149.51,2025,5,2,May,1,69.65,25.0,82.37,0.0,-0.473,0,6086.08,501301.39
REC0000011,PLT011,2025-05-30,Solar,Northeast,21540.06,92.78,538501.58,1455784.04,0.0,0.11,0,917282.4600000001,2025,5,2,May,1,63.01,25.0,67.58,0.0,1.068,0,21540.06,1455784.04
REC0000012,PLT012,2025-05-30,Hydro,Midwest,8197.46,96.39,122961.96,670445.75,81.97,0.61,0,547483.79,2025,5,2,May,1,81.66,15.0,81.79,0.01,1.378,0,8197.46,670445.75
REC0000008,PLT008,2025-05-30,Nuclear,Midwest,21361.79,85.38,427235.77,1753148.18,0.0,1.99,0,1325912.41,2025,5,2,May,0,75.63,20.0,82.07,0.0,0.433,0,21361.79,1753148.18
REC0000022,PLT022,2025-05-30,Solar,West Coast,11365.43,94.92,284135.87,949037.34,0.0,1.46,0,664901.47,2025,5,2,May,1,70.06,25.0,83.5,0.0,1.252,0,11365.43,949037.34
REC0000014,PLT014,2025-05-30,Coal,Southwest,19217.39,85.41,672608.54,1231348.16,15758.26,1.3,0,558739.6199999999,2025,5,2,May,0,45.38,35.0,64.07,0.82,0.436,0,19217.39,1231348.16
REC0000015,PLT015,2025-05-30,Wind,Northeast,7751.73,56.28,232551.83,529370.8,0.0,1.23,0,296818.9700000001,2025,5,2,May,1,56.07,30.0,68.29,0.0,-2.064,0,7751.73,529370.8
REC0000016,PLT016,2025-05-30,Solar,Northeast,8422.93,93.78,210573.34,516014.32,0.0,1.73,0,305440.98,2025,5,2,May,1,59.19,25.0,61.26,0.0,1.154,0,8422.93,516014.32
REC0000017,PLT017,2025-05-30,Geothermal,Southeast,10719.1,76.23,300134.73,875237.44,535.95,1.25,0,575102.71,2025,5,2,May,1,65.71,28.0,81.65,0.05,-0.352,0,10719.1,875237.44
REC0000018,PLT018,2025-05-30,Solar,Southeast,14390.47,72.35,359761.86,1204753.31,0.0,0.92,1,844991.4500000001,2025,5,2,May,1,70.14,25.0,83.72,0.0,-0.685,0,14390.47,1204753.31
REC0000019,PLT019,2025-05-30,Biomass,Southeast,4378.7,63.44,166390.61,349953.19,1007.1,0.55,0,183562.58000000002,2025,5,2,May,1,52.45,38.0,79.92,0.23,-1.45,0,4378.7,349953.19
REC0000020,PLT020,2025-05-30,Wind,Southeast,13328.78,71.2,399863.26,1124401.49,0.0,1.61,0,724538.23,2025,5,2,May,1,64.44,30.0,84.36,0.0,-0.784,0,13328.78,1124401.49
REC0000021,PLT021,2025-05-30,Natural Gas,Midwest,17656.92,92.86,794561.24,1278067.46,7945.61,0.28,0,483506.22,2025,5,2,May,0,37.83,45.0,72.38,0.45,1.075,0,17656.92,1278067.46
REC0000013,PLT013,2025-05-30,Geothermal,West Coast,7711.29,72.61,215915.98,597928.47,385.56,1.32,0,382012.49,2025,5,2,May,1,63.89,28.0,77.54,0.05,-0.663,0,7711.29,597928.47
REC0000023,PLT023,2025-05-30,Natural Gas,Southeast,30755.42,93.94,1383994.03,2603924.67,13839.94,1.14,0,1219930.64,2025,5,2,May,0,46.85,45.0,84.67,0.45,1.168,0,30755.42,2603924.67
REC0000086,PLT036,2025-05-31,Natural Gas,Northeast,12622.49,88.94,568012.2,1046344.58,5680.12,1.94,0,478332.38,2025,5,2,May,0,45.71,45.0,82.9,0.45,0.739,0,13026.27,1059408.54
REC0000085,PLT035,2025-05-31,Wind,Midwest,10402.37,64.45,312071.23,754496.2,0.0,1.27,0,442424.97,2025,5,2,May,1,58.64,30.0,72.53,0.0,-1.363,0,11139.91,860983.36
REC0000084,PLT034,2025-05-31,Biomass,West Coast,8195.39,81.81,311424.83,456856.74,1884.94,1.68,0,145431.90999999997,2025,5,2,May,1,31.83,38.0,55.75,0.23,0.127,0,7893.04,460127.38
REC0000083,PLT033,2025-05-31,Solar,Southeast,7070.9,78.52,176772.61,534439.68,0.0,1.67,0,357667.07000000007,2025,5,2,May,1,66.92,25.0,75.58,0.0,-0.156,0,7752.86,555557.06
REC0000078,PLT028,2025-05-31,Wind,Southwest,13487.7,74.28,404631.04,872140.13,0.0,1.88,0,467509.09,2025,5,2,May,1,53.6,30.0,64.66,0.0,-0.519,0,12578.44,875018.8
REC0000081,PLT031,2025-05-31,Natural Gas,Midwest,26000.9,82.76,1170040.69,2000177.88,11700.41,0.81,0,830137.19,2025,5,2,May,0,41.5,45.0,76.93,0.45,0.208,0,28552.91,2081092.72
REC0000080,PLT030,2025-05-31,Geothermal,Northeast,11731.57,90.04,328483.85,789565.84,586.58,0.97,0,461081.99,2025,5,2,May,1,58.4,28.0,67.3,0.05,0.833,0,11607.44,874889.04
REC0000079,PLT029,2025-05-31,Solar,Northeast,15983.93,79.5,399598.36,1201463.59,0.0,0.87,0,801865.2300000001,2025,5,2,May,1,66.74,25.0,75.17,0.0,-0.071,0,15427.47,1084377.58
REC0000087,PLT037,2025-05-31,Natural Gas,Southwest,12865.92,78.94,578966.53,1030628.77,5789.67,1.21,0,451662.24,2025,5,2,May,0,43.82,45.0,80.11,0.45,-0.12,0,14282.92,1109606.0
REC0000082,PLT032,2025-05-31,Biomass,Midwest,5775.23,75.65,219458.59,363113.32,1328.3,0.65,0,143654.73,2025,5,2,May,1,39.56,38.0,62.87,0.23,-0.402,0,5725.1,416485.01
REC0000088,PLT038,2025-05-31,Biomass,Southwest,7345.43,81.43,279126.3,423942.41,1689.45,0.08,0,144816.11,2025,5,2,May,1,34.16,38.0,57.72,0.23,0.094,0,6537.62,419874.36
REC0000100,PLT050,2025-05-31,Natural Gas,West Coast,19583.31,82.3,881248.92,1374168.5,8812.49,0.75,0,492919.57999999996,2025,5,2,May,0,35.87,45.0,70.17,0.45,0.169,0,21570.05,1616757.55
REC0000090,PLT040,2025-05-31,Geothermal,West Coast,4143.72,88.35,116024.04,250239.95,207.19,0.66,0,134215.91000000003,2025,5,2,May,1,53.63,28.0,60.39,0.05,0.688,0,3665.44,253878.13
REC0000091,PLT041,2025-05-31,Nuclear,Midwest,16849.14,77.8,336982.86,1210186.31,0.0,1.79,0,873203.4500000001,2025,5,2,May,0,72.15,20.0,71.82,0.0,-0.217,0,16883.62,1095326.89
REC0000092,PLT042,2025-05-31,Natural Gas,West Coast,32499.1,79.08,1462459.65,2611481.41,14624.6,0.15,0,1149021.7600000002,2025,5,2,May,0,44.0,45.0,80.36,0.45,-0.108,0,36592.87,2627830.37
REC0000093,PLT043,2025-05-31,Natural Gas,Midwest,14321.73,99.0,644477.86,936297.86,6444.78,0.63,0,291820.0,2025,5,2,May,0,31.17,45.0,65.38,0.45,1.602,0,13554.56,825231.2
REC0000094,PLT044,2025-05-31,Nuclear,Northeast,39327.43,81.22,786548.64,3263352.69,0.0,0.34,0,2476804.05,2025,5,2,May,0,75.9,20.0,82.98,0.0,0.076,0,38511.52,3222794.02
REC0000095,PLT045,2025-05-31,Coal,Midwest,18257.17,85.37,639000.88,1111971.36,14970.88,1.53,0,472970.4800000001,2025,5,2,May,0,42.53,35.0,60.91,0.82,0.432,0,18276.44,1291672.63
REC0000096,PLT046,2025-05-31,Nuclear,West Coast,17864.11,74.22,357282.29,1129619.5,0.0,1.75,0,772337.21,2025,5,2,May,0,68.37,20.0,63.23,0.0,-0.525,0,18607.01,1373693.63
REC0000097,PLT047,2025-05-31,Biomass,Southeast,4935.33,71.7,187542.56,278465.09,1135.13,0.3,1,90922.53000000003,2025,5,2,May,1,32.65,38.0,56.42,0.23,-0.741,0,4889.27,341594.79
REC0000098,PLT048,2025-05-31,Solar,Northeast,8152.86,92.83,203821.49,582154.28,0.0,0.28,0,378332.79000000004,2025,5,2,May,1,64.99,25.0,71.4,0.0,1.072,0,8102.34,519795.3
REC0000099,PLT049,2025-05-31,Geothermal,Southwest,9043.01,75.53,253204.35,681245.31,452.15,1.36,0,428040.9600000001,2025,5,2,May,1,62.83,28.0,75.33,0.05,-0.412,0,9346.24,615058.1
REC0000077,PLT027,2025-05-31,Wind,Southeast,7938.73,68.81,238162.04,625790.19,0.0,0.96,0,387628.1499999999,2025,5,2,May,1,61.94,30.0,78.83,0.0,-0.989,0,8244.66,604923.36
REC0000089,PLT039,2025-05-31,Nuclear,Northeast,21449.44,72.95,428988.84,1536179.26,0.0,0.49,0,1107190.42,2025,5,2,May,0,72.07,20.0,71.62,0.0,-0.634,0,23969.73,1524374.84
REC0000076,PLT026,2025-05-31,Hydro,Southwest,23904.38,99.0,358565.76,1967295.08,239.04,1.42,0,1608729.32,2025,5,2,May,1,81.77,15.0,82.3,0.01,1.602,0,22490.44,1640136.88
REC0000062,PLT012,2025-05-31,Hydro,Midwest,7435.54,87.43,111533.17,463329.3,74.36,1.18,0,351796.13,2025,5,2,May,1,75.93,15.0,62.31,0.01,0.609,0,7816.5,566887.52
REC0000074,PLT024,2025-05-31,Hydro,Northeast,9250.47,89.95,138757.0,664194.12,92.5,1.93,0,525437.12,2025,5,2,May,1,79.11,15.0,71.8,0.01,0.825,0,9715.8,663792.28
REC0000075,PLT025,2025-05-31,Geothermal,West Coast,9711.45,70.31,271920.57,670149.39,485.57,0.15,0,398228.82,2025,5,2,May,1,59.42,28.0,69.01,0.05,-0.86,0,9983.31,626610.25
REC0000052,PLT002,2025-05-31,Coal,West Coast,23127.38,79.47,809458.29,1608217.64,18964.45,0.88,0,798759.3499999999,2025,5,2,May,0,49.67,35.0,69.54,0.82,-0.074,0,22168.22,1678146.6
REC0000053,PLT003,2025-05-31,Nuclear,Northeast,36814.9,68.67,736297.91,3019047.34,0.0,0.6,0,2282749.4299999997,2025,5,2,May,0,75.61,20.0,82.01,0.0,-1.001,0,41816.52,2809091.86
REC0000054,PLT004,2025-05-31,Geothermal,West Coast,3694.16,88.12,103436.38,250101.89,184.71,1.5,0,146665.51,2025,5,2,May,1,58.64,28.0,67.7,0.05,0.668,0,3610.37,264167.88
REC0000055,PLT005,2025-05-31,Geothermal,Southeast,10083.6,87.78,282340.71,580740.12,504.18,0.72,0,298399.41,2025,5,2,May,1,51.38,28.0,57.59,0.05,0.639,0,9191.19,592991.55
REC0000056,PLT006,2025-05-31,Geothermal,West Coast,11701.22,89.38,327634.09,987306.8,585.06,0.63,0,659672.71,2025,5,2,May,1,66.82,28.0,84.38,0.05,0.776,0,11124.1,851102.28
REC0000057,PLT007,2025-05-31,Geothermal,Northeast,7121.38,69.8,199398.55,597066.91,356.07,1.96,0,397668.36000000004,2025,5,2,May,1,66.6,28.0,83.84,0.05,-0.904,0,8124.1,587283.41
REC0000058,PLT008,2025-05-31,Nuclear,Midwest,19687.28,78.68,393745.54,1640459.45,0.0,1.58,0,1246713.91,2025,5,2,May,0,76.0,20.0,83.33,0.0,-0.142,0,20524.54,1696803.82
REC0000059,PLT009,2025-05-31,Natural Gas,Southwest,40658.24,99.0,1829620.73,2737714.99,18296.21,0.85,0,908094.2600000002,2025,5,2,May,0,33.17,45.0,67.33,0.45,1.602,0,37173.34,2747824.02
REC0000060,PLT010,2025-05-31,Solar,Midwest,7353.45,90.4,183836.36,415659.46,0.0,0.93,0,231823.10000000003,2025,5,2,May,1,55.77,25.0,56.53,0.0,0.864,0,6719.76,458480.43
REC0000061,PLT011,2025-05-31,Solar,Northeast,20929.04,90.14,523225.91,1225901.73,0.0,1.64,1,702675.8200000001,2025,5,2,May,1,57.32,25.0,58.57,0.0,0.842,0,21234.55,1340842.88
REC0000051,PLT001,2025-05-31,Wind,Northeast,5325.45,75.68,159763.57,352253.0,0.0,1.33,0,192489.43,2025,5,2,May,1,54.65,30.0,66.15,0.0,-0.399,0,5033.58,328292.66
REC0000063,PLT013,2025-05-31,Geothermal,West Coast,8131.92,76.57,227693.63,610807.73,406.6,0.58,0,383114.1,2025,5,2,May,1,62.72,28.0,75.11,0.05,-0.323,0,7921.6,604368.1
REC0000072,PLT022,2025-05-31,Solar,West Coast,8765.9,73.21,219147.46,632040.71,0.0,1.28,0,412893.25,2025,5,2,May,1,65.33,25.0,72.1,0.0,-0.611,0,10065.67,790539.02
REC0000071,PLT021,2025-05-31,Natural Gas,Midwest,15669.4,82.41,705122.8,882552.92,7051.23,1.58,0,177430.12,2025,5,2,May,0,20.1,45.0,56.32,0.45,0.178,0,16663.16,1080310.19
REC0000070,PLT020,2025-05-31,Wind,Southeast,11567.95,61.79,347038.47,716424.41,0.0,0.3,0,369385.94000000006,2025,5,2,May,1,51.56,30.0,61.93,0.0,-1.591,0,12448.37,920412.95
REC0000069,PLT019,2025-05-31,Biomass,Southeast,5888.81,85.33,223774.78,390490.17,1354.43,1.37,0,166715.38999999998,2025,5,2,May,1,42.69,38.0,66.31,0.23,0.429,0,5133.76,370221.68
REC0000073,PLT023,2025-05-31,Natural Gas,Southeast,27651.31,84.46,1244308.88,1725377.38,12443.09,0.9,0,481068.5,2025,5,2,May,0,27.88,45.0,62.4,0.45,0.354,0,29203.36,2164651.02
REC0000067,PLT017,2025-05-31,Geothermal,Southeast,11149.3,79.29,312180.46,617317.66,557.47,1.37,0,305137.2,2025,5,2,May,1,49.43,28.0,55.37,0.05,-0.089,0,10934.2,746277.55
REC0000066,PLT016,2025-05-31,Solar,Northeast,7087.15,78.91,177178.84,549743.4,0.0,1.73,0,372564.56000000006,2025,5,2,May,1,67.77,25.0,77.57,0.0,-0.122,0,7755.04,532878.86
REC0000065,PLT015,2025-05-31,Wind,Northeast,7974.77,57.9,239243.14,495644.06,0.0,1.75,0,256400.91999999998,2025,5,2,May,1,51.73,30.0,62.15,0.0,-1.925,0,7863.25,512507.43
REC0000064,PLT014,2025-05-31,Coal,Southwest,20672.94,91.88,723552.92,1435415.26,16951.81,0.42,0,711862.34,2025,5,2,May,0,49.59,35.0,69.43,0.82,0.991,0,19945.16,1333381.71
REC0000068,PLT018,2025-05-31,Solar,Southeast,15443.79,77.64,386094.71,1274849.0,0.0,1.01,0,888754.29,2025,5,2,May,1,69.71,25.0,82.55,0.0,-0.231,0,14917.13,1239801.16
REC0000138,PLT038,2025-06-01,Biomass,Southwest,6488.05,71.92,246545.76,406295.73,1492.25,1.48,0,159749.96999999997,2025,6,2,Jun,1,39.32,38.0,62.62,0.23,-0.722,0,6521.1,415348.15
REC0000128,PLT028,2025-06-01,Wind,Southwest,11422.81,62.91,342684.35,853143.62,0.0,1.84,0,510459.27,2025,6,2,Jun,1,59.83,30.0,74.69,0.0,-1.495,0,12193.23,867727.07
REC0000129,PLT029,2025-06-01,Solar,Northeast,19904.14,99.0,497603.4,1136202.38,0.0,0.71,0,638598.9799999999,2025,6,2,Jun,1,56.2,25.0,57.08,0.0,1.602,0,16919.69,1101652.51
REC0000130,PLT030,2025-06-01,Geothermal,Northeast,9093.77,69.8,254625.69,690557.69,454.69,0.31,0,435931.99999999994,2025,6,2,Jun,1,63.13,28.0,75.94,0.05,-0.904,0,10769.55,813445.26
REC0000131,PLT031,2025-06-01,Natural Gas,Midwest,31104.92,99.0,1399721.19,2289706.18,13997.21,0.2,0,889984.9900000002,2025,6,2,Jun,0,38.87,45.0,73.61,0.45,1.602,0,29403.58,2150630.54
REC0000132,PLT032,2025-06-01,Biomass,Midwest,6443.07,84.39,244836.72,359700.45,1481.91,0.17,0,114863.73000000001,2025,6,2,Jun,1,31.93,38.0,55.83,0.23,0.348,0,5964.43,397556.82
REC0000133,PLT033,2025-06-01,Solar,Southeast,8328.67,92.49,208216.81,544121.68,0.0,1.45,0,335904.87000000005,2025,6,2,Jun,1,61.73,25.0,65.33,0.0,1.043,0,7944.8,551745.26
REC0000134,PLT034,2025-06-01,Biomass,West Coast,7868.09,78.55,298987.52,539630.54,1809.66,1.3,0,240643.02000000002,2025,6,2,Jun,1,44.59,38.0,68.58,0.23,-0.153,0,7884.73,486628.43
REC0000135,PLT035,2025-06-01,Wind,Midwest,10806.45,66.95,324193.39,787715.48,0.0,0.49,0,463522.08999999997,2025,6,2,Jun,1,58.84,30.0,72.89,0.0,-1.148,0,11028.76,836560.73
REC0000136,PLT036,2025-06-01,Natural Gas,Northeast,11377.64,80.17,511993.91,818078.19,5119.94,1.14,0,306084.27999999997,2025,6,2,Jun,0,37.42,45.0,71.9,0.45,-0.014,0,12476.73,978965.09
REC0000139,PLT039,2025-06-01,Nuclear,Northeast,24725.62,84.09,494512.32,1653919.98,0.0,1.8,0,1159407.66,2025,6,2,Jun,0,70.1,20.0,66.89,0.0,0.322,0,24221.69,1567556.56
REC0000144,PLT044,2025-06-01,Nuclear,Northeast,39583.0,81.75,791660.08,2386588.08,0.0,1.54,0,1594928.0,2025,6,2,Jun,0,66.83,20.0,60.29,0.0,0.122,0,38868.68,2944058.71
REC0000141,PLT041,2025-06-01,Nuclear,Midwest,19885.12,91.81,397702.41,1572873.87,0.0,0.14,0,1175171.4600000002,2025,6,2,Jun,0,74.71,20.0,79.1,0.0,0.985,0,17884.12,1254509.22
REC0000142,PLT042,2025-06-01,Natural Gas,West Coast,33663.43,81.91,1514854.36,2794384.91,15148.54,0.01,0,1279530.55,2025,6,2,Jun,0,45.79,45.0,83.01,0.45,0.135,0,35616.39,2683348.55
REC0000143,PLT043,2025-06-01,Natural Gas,Midwest,13935.76,96.33,627109.39,1145016.13,6271.09,0.83,0,517906.7399999999,2025,6,2,Jun,0,45.23,45.0,82.16,0.45,1.373,0,13681.63,931826.18
REC0000127,PLT027,2025-06-01,Wind,Southeast,6924.95,60.02,207748.58,430582.68,0.0,0.42,0,222834.1,2025,6,2,Jun,1,51.75,30.0,62.18,0.0,-1.743,0,7804.76,546809.8
REC0000145,PLT045,2025-06-01,Coal,Midwest,16818.3,78.64,588640.56,1181827.62,13791.01,0.64,0,593187.06,2025,6,2,Jun,0,50.19,35.0,70.27,0.82,-0.145,0,17790.39,1255057.63
REC0000146,PLT046,2025-06-01,Nuclear,West Coast,17273.54,71.77,345470.8,1113860.85,0.0,0.53,0,768390.05,2025,6,2,Jun,0,68.98,20.0,64.48,0.0,-0.735,0,18162.52,1287082.7
REC0000147,PLT047,2025-06-01,Biomass,Southeast,4574.88,66.46,173845.43,259990.37,1052.22,0.53,0,86144.94,2025,6,2,Jun,1,33.13,38.0,56.83,0.23,-1.19,0,4784.48,314393.32
REC0000148,PLT048,2025-06-01,Solar,Northeast,8694.36,99.0,217358.94,733383.1,0.0,1.42,0,516024.16,2025,6,2,Jun,1,70.36,25.0,84.35,0.0,1.602,0,8299.68,590991.23
REC0000149,PLT049,2025-06-01,Geothermal,Southwest,10163.65,84.89,284582.08,640634.08,508.18,1.63,0,356051.99999999994,2025,6,2,Jun,1,55.58,28.0,63.03,0.05,0.391,0,9618.71,623583.43
REC0000150,PLT050,2025-06-01,Natural Gas,West Coast,23556.79,99.0,1060055.66,1648640.94,10600.56,1.75,0,588585.28,2025,6,2,Jun,0,35.7,45.0,69.99,0.45,1.602,0,22232.3,1627385.35
REC0000140,PLT040,2025-06-01,Geothermal,West Coast,4096.75,87.35,114709.13,226649.13,204.84,1.02,0,111940.0,2025,6,2,Jun,1,49.39,28.0,55.32,0.05,0.602,0,3809.21,244801.8
REC0000126,PLT026,2025-06-01,Hydro,Southwest,20904.95,86.58,313574.27,1667547.21,209.05,1.41,0,1353972.94,2025,6,2,Jun,1,81.2,15.0,79.77,0.01,0.536,0,21961.94,1649273.66
REC0000137,PLT037,2025-06-01,Natural Gas,Southwest,14174.95,86.97,637872.88,793953.11,6378.73,0.28,0,156080.22999999998,2025,6,2,Jun,0,19.66,45.0,56.01,0.45,0.57,0,14246.93,1004388.37
